Event #0 ----------------------
  t1[ns]  u1[mV]  t2[ns] u2[mV]
 99.023  -499.9  99.023  -499.9
 99.219  -499.9  99.219  -499.9
 99.414  -499.4  99.414  -477.6
 99.609  -487.0  99.609  -462.7
 99.805  -450.5  99.805  -417.6
100.000  -429.3 100.000  -390.0
100.195  -372.6 100.195  -331.0
100.391  -336.5 100.391  -285.6
100.586  -272.1 100.586  -219.9
100.781  -220.7 100.781  -169.8
100.977  -148.8 100.977   -90.3
101.172  -102.4 101.172   -48.1
101.367   -16.7 101.367    35.0
101.562    31.0 101.562    86.6
101.758   109.3 101.758   164.3
101.953   157.1 101.953   206.9
102.148   220.9 102.148   269.4
102.344   268.1 102.344   306.1
102.539   316.2 102.539   350.6
102.734   351.5 102.734   377.0
102.930   396.7 102.930   418.6
103.125   422.9 103.125   437.3
103.320   452.1 103.320   461.0
103.516   465.5 103.516   469.5
103.711   479.2 103.711   479.0
103.906   482.0 103.906   477.2
104.102   482.0 104.102   469.1
104.297   475.4 104.297   461.0
104.492   461.7 104.492   436.6
104.688   443.1 104.688   416.9
104.883   413.0 104.883   374.2
105.078   380.6 105.078   343.3
105.273   328.8 105.273   282.1
105.469   295.0 105.469   252.2
105.664   228.1 105.664   173.7
105.859   186.1 105.859   136.7
106.055   106.0 106.055    49.4
106.250    61.2 106.250    10.5
106.445   -25.2 106.445   -79.1
106.641   -72.9 106.641  -122.2
106.836  -138.5 106.836  -195.5
107.031  -191.1 107.031  -236.4
107.227  -262.9 107.227  -307.8
107.422  -300.9 107.422  -340.0
107.617  -358.3 107.617  -400.8
107.812  -393.3 107.812  -421.9
108.008  -435.5 108.008  -463.2
108.203  -465.0 108.203  -481.9
108.398  -484.8 108.398  -499.9
108.594  -499.9 108.594  -499.9
108.789  -499.9 108.789  -499.9
108.984  -499.9 108.984  -499.9
109.180  -499.9 109.180  -499.2
109.375  -499.9 109.375  -481.5
109.570  -475.7 109.570  -448.0
109.766  -458.3 109.766  -425.8
109.961  -411.5 109.961  -372.3
110.156  -374.7 110.156  -328.5
110.352  -320.4 110.352  -273.6
110.547  -274.6 110.547  -230.3
110.742  -203.4 110.742  -152.5
110.938  -156.2 110.938  -100.1
111.133   -71.0 111.133   -15.3
111.328   -19.4 111.328    36.9
111.523    47.2 111.523   103.2
111.719   100.3 111.719   150.4
111.914   178.8 111.914   220.3
112.109   207.1 112.109   254.3
112.305   276.4 112.305   316.4
112.500   309.6 112.500   346.8
112.695   368.4 112.695   394.1
112.891   391.3 112.891   408.4
113.086   425.4 113.086   441.4
113.281   448.1 113.281   461.2
113.477   471.7 113.477   474.4
113.672   478.2 113.672   478.2
113.867   484.8 113.867   477.3
114.062   481.3 114.062   470.7
114.258   473.5 114.258   453.7
114.453   458.3 114.453   435.6
114.648   436.6 114.648   403.4
114.844   412.1 114.844   377.4
115.039   371.2 115.039   330.4
115.234   335.8 115.234   292.3
115.430   282.4 115.430   232.1
115.625   236.6 115.625   184.2
115.820   163.1 115.820   107.7
116.016   126.9 116.016    70.6
116.211    48.1 116.211   -17.7
116.406    -6.3 116.406   -61.2
116.602   -89.7 116.602  -142.1
116.797  -131.5 116.797  -181.9
116.992  -198.7 116.992  -245.3
117.188  -240.3 117.188  -284.5
117.383  -303.1 117.383  -349.6
117.578  -344.9 117.578  -380.7
117.773  -394.9 117.773  -428.2
117.969  -432.6 117.969  -452.6
118.164  -469.8 118.164  -488.1
118.359  -480.1 118.359  -494.6
118.555  -499.9 118.555  -499.9
118.750  -499.9 118.750  -499.9
118.945  -499.9 118.945  -499.9
119.141  -499.9 119.141  -499.9
119.336  -499.9 119.336  -481.8
119.531  -482.4 119.531  -456.6
119.727  -451.4 119.727  -418.5
119.922  -424.5 119.922  -388.3
120.117  -370.9 120.117  -330.1
120.312  -335.4 120.312  -290.4
120.508  -270.1 120.508  -218.7
120.703  -221.2 120.703  -162.7
120.898  -144.0 120.898   -86.5
121.094   -95.5 121.094   -38.2
121.289   -11.6 121.289    40.1
121.484    31.7 121.484    85.6
121.680    99.9 121.680   152.6
121.875   146.3 121.875   193.9
122.070   228.2 122.070   265.6
122.266   264.3 122.266   297.0
122.461   318.0 122.461   345.9
122.656   350.0 122.656   376.1
122.852   395.0 122.852   413.2
123.047   414.9 123.047   431.8
123.242   447.6 123.242   456.7
123.438   462.2 123.438   469.8
123.633   474.8 123.633   476.8
123.828   480.4 123.828   480.1
124.023   483.1 124.023   473.1
124.219   476.8 124.219   463.8
124.414   461.3 124.414   438.5
124.609   447.8 124.609   423.0
124.805   413.1 124.805   376.2
125.000   381.0 125.000   340.0
125.195   338.5 125.195   296.9
125.391   303.0 125.391   259.9
125.586   236.3 125.586   185.8
125.781   190.7 125.781   140.4
125.977   116.8 125.977    60.9
126.172    61.3 126.172     7.8
126.367    -5.6 126.367   -64.1
126.562   -57.1 126.562  -113.8
126.758  -138.4 126.758  -188.9
126.953  -178.2 126.953  -235.4
127.148  -245.5 127.148  -296.2
127.344  -293.8 127.344  -331.3
127.539  -352.2 127.539  -391.2
127.734  -378.5 127.734  -411.3
127.930  -422.7 127.930  -452.8
128.125  -454.3 128.125  -473.6
128.320  -482.9 128.320  -499.9
128.516  -499.9 128.516  -499.9
128.711  -499.9 128.711  -499.9
128.906  -499.9 128.906  -499.9
129.102  -499.9 129.102  -499.9
129.297  -499.9 129.297  -490.1
129.492  -484.5 129.492  -459.9
129.688  -462.1 129.688  -429.5
129.883  -415.3 129.883  -376.7
130.078  -383.9 130.078  -342.5
130.273  -320.6 130.273  -275.1
130.469  -272.7 130.469  -220.8
130.664  -207.7 130.664  -152.8
130.859  -166.3 130.859  -114.3
131.055   -85.3 131.055   -35.6
131.250   -33.4 131.250    20.7
131.445    44.2 131.445    89.3
131.641    87.7 131.641   137.9
131.836   169.8 131.836   214.9
132.031   205.0 132.031   242.1
132.227   271.8 132.227   310.0
132.422   305.9 132.422   334.3
132.617   355.2 132.617   379.0
132.812   380.3 132.812   403.7
133.008   428.2 133.008   441.4
133.203   438.2 133.203   450.4
133.398   466.1 133.398   472.2
133.594   477.8 133.594   476.0
133.789   484.8 133.789   479.1
133.984   483.8 133.984   475.9
134.180   475.2 134.180   460.5
134.375   461.9 134.375   444.0
134.570   440.8 134.570   412.7
134.766   419.4 134.766   387.8
134.961   379.8 134.961   342.2
135.156   341.1 135.156   302.9
135.352   282.8 135.352   231.8
135.547   252.9 135.547   203.3
135.742   188.2 135.742   132.2
135.938   131.3 135.938    78.3
136.133    62.8 136.133     2.4
136.328     9.9 136.328   -48.1
136.523   -63.5 136.523  -117.8
136.719  -110.8 136.719  -166.9
136.914  -186.0 136.914  -234.0
137.109  -224.0 137.109  -273.3
137.305  -293.5 137.305  -343.0
137.500  -340.2 137.500  -373.6
137.695  -385.5 137.695  -417.7
137.891  -419.8 137.891  -443.9
138.086  -458.0 138.086  -481.8
138.281  -478.9 138.281  -494.7
138.477  -499.9 138.477  -499.9
138.672  -499.9 138.672  -499.9
138.867  -499.9 138.867  -499.9
139.062  -499.9 139.062  -499.9
139.258  -499.9 139.258  -487.2
139.453  -492.3 139.453  -467.5
139.648  -456.6 139.648  -426.5
139.844  -428.4 139.844  -391.8
140.039  -377.0 140.039  -335.3
140.234  -349.4 140.234  -302.8
140.430  -281.3 140.430  -227.6
140.625  -235.5 140.625  -183.7
140.820  -152.3 140.820   -94.0
141.016  -112.0 141.016   -57.1
141.211   -36.0 141.211    16.4
141.406    14.9 141.406    65.7
141.602    83.6 141.602   132.1
141.797   135.5 141.797   175.3
141.992   205.5 141.992   246.8
142.188   255.6 142.188   295.0
142.383   311.5 142.383   342.0
142.578   341.3 142.578   370.6
142.773   390.9 142.773   413.5
142.969   416.6 142.969   432.2
143.164   442.8 143.164   455.6
143.359   455.4 143.359   465.2
143.555   473.1 143.555   475.9
143.750   477.2 143.750   476.8
143.945   481.8 143.945   473.3
144.141   475.3 144.141   464.0
144.336   465.0 144.336   444.0
144.531   449.5 144.531   424.9
144.727   417.0 144.727   384.1
144.922   394.5 144.922   359.2
145.117   350.2 145.117   302.9
145.312   311.0 145.312   267.6
145.508   250.7 145.508   197.4
145.703   200.1 145.703   148.0
145.898   129.9 145.898    72.3
146.094    76.5 146.094    23.2
146.289    16.7 146.289   -44.3
146.484   -44.7 146.484   -97.4
146.680  -116.5 146.680  -176.7
146.875  -167.4 146.875  -212.2
147.070  -232.9 147.070  -281.8
147.266  -279.7 147.266  -318.0
147.461  -338.4 147.461  -380.4
147.656  -374.2 147.656  -406.5
147.852  -425.7 147.852  -453.5
148.047  -449.2 148.047  -471.7
148.242  -475.5 148.242  -497.4
148.438  -495.8 148.438  -499.9
148.633  -499.9 148.633  -499.9
148.828  -499.9 148.828  -499.9
149.023  -499.9 149.023  -499.9
149.219  -499.9 149.219  -492.1
149.414  -486.6 149.414  -461.2
149.609  -464.0 149.609  -433.7
149.805  -425.3 149.805  -392.1
150.000  -395.7 150.000  -357.5
150.195  -345.4 150.195  -294.1
150.391  -307.0 150.391  -257.3
150.586  -228.5 150.586  -173.5
150.781  -183.9 150.781  -133.7
150.977   -98.3 150.977   -48.6
151.172   -57.6 151.172    -6.0
151.367    15.7 151.367    72.7
151.562    69.2 151.562   113.8
151.758   146.8 151.758   188.5
151.953   185.8 151.953   226.9
152.148   255.0 152.148   294.3
152.344   298.9 152.344   329.4
152.539   349.4 152.539   372.2
152.734   371.9 152.734   397.4
152.930   416.7 152.930   437.8
153.125   437.5 153.125   452.6
153.320   461.4 153.320   468.1
153.516   471.5 153.516   476.2
153.711   481.5 153.711   480.3
153.906   483.3 153.906   476.0
154.102   477.3 154.102   462.3
154.297   467.1 154.297   448.8
154.492   448.3 154.492   419.9
154.688   427.1 154.688   397.8
154.883   390.3 154.883   352.9
155.078   360.3 155.078   320.7
155.273   301.3 155.273   253.5
155.469   267.8 155.469   219.0
155.664   196.4 155.664   137.0
155.859   149.5 155.859    97.6
156.055    83.5 156.055    23.5
156.250    19.4 156.250   -32.2
156.445   -49.6 156.445  -109.5
156.641   -96.1 156.641  -146.4
156.836  -178.2 156.836  -228.9
157.031  -227.1 157.031  -269.4
157.227  -293.2 157.227  -336.6
157.422  -325.0 157.422  -362.7
157.617  -371.5 157.617  -409.0
157.812  -409.8 157.812  -441.7
158.008  -451.5 158.008  -475.4
158.203  -472.7 158.203  -489.5
158.398  -493.6 158.398  -499.9
158.594  -499.9 158.594  -499.9
158.789  -499.9 158.789  -499.9
158.984  -499.9 158.984  -499.9
159.180  -499.9 159.180  -489.7
159.375  -495.4 159.375  -470.9
159.570  -464.3 159.570  -436.0
159.766  -447.0 159.766  -412.1
159.961  -393.9 159.961  -353.6
160.156  -355.2 160.156  -307.0
160.352  -294.7 160.352  -242.5
160.547  -260.3 160.547  -207.8
160.742  -179.0 160.742  -127.0
160.938  -121.3 160.938   -66.8
161.133   -46.0 161.133     9.2
161.328    -3.0 161.328    46.2
161.523    69.6 161.523   123.9
161.719   133.2 161.719   178.0
161.914   194.0 161.914   238.9
162.109   235.9 162.109   275.0
162.305   293.6 162.305   334.5
162.500   337.3 162.500   364.6
162.695   378.3 162.695   397.6
162.891   401.5 162.891   420.5
163.086   438.6 163.086   449.1
163.281   454.2 163.281   461.3
163.477   472.9 163.477   475.3
163.672   478.2 163.672   478.2
163.867   483.4 163.867   477.0
164.062   480.0 164.062   469.7
164.258   471.0 164.258   452.2
164.453   457.6 164.453   434.4
164.648   429.1 164.648   396.5
164.844   403.3 164.844   368.0
165.039   361.6 165.039   316.2
165.234   328.6 165.234   283.0
165.430   267.6 165.430   214.6
165.625   220.7 165.625   170.5
165.820   149.6 165.820    86.3
166.016   101.8 166.016    52.2
166.211    29.3 166.211   -32.5
166.406   -21.5 166.406   -74.6
166.602  -105.4 166.602  -160.0
166.797  -142.2 166.797  -190.4
166.992  -208.2 166.992  -257.2
167.188  -260.5 167.188  -304.4
167.383  -321.4 167.383  -360.0
167.578  -355.4 167.578  -390.9
167.773  -403.9 167.773  -434.8
167.969  -435.6 167.969  -459.0
168.164  -467.8 168.164  -484.9
168.359  -485.7 168.359  -499.9
168.555  -499.9 168.555  -499.9
168.750  -499.9 168.750  -499.9
168.945  -499.9 168.945  -499.9
169.141  -499.9 169.141  -499.9
169.336  -498.9 169.336  -477.5
169.531  -478.9 169.531  -453.1
169.727  -444.6 169.727  -410.3
169.922  -417.1 169.922  -379.8
170.117  -359.4 170.117  -316.1
170.312  -324.6 170.312  -277.0
170.508  -252.8 170.508  -198.3
170.703  -210.5 170.703  -150.5
170.898  -129.4 170.898   -78.1
171.094   -93.7 171.094   -39.4
171.289    -7.4 171.289    46.1
171.484    29.7 171.484    79.7
171.680   109.1 171.680   158.9
171.875   159.3 171.875   204.0
172.070   226.2 172.070   264.8
172.266   257.9 172.266   294.5
172.461   319.5 172.461   353.6
172.656   354.7 172.656   382.2
172.852   394.9 172.852   414.5
173.047   421.7 173.047   435.3
173.242   448.0 173.242   459.3
173.438   461.4 173.438   467.1
173.633   479.1 173.633   477.7
173.828   481.2 173.828   478.7
174.023   486.0 174.023   473.9
174.219   476.9 174.219   462.3
174.414   461.2 174.414   438.2
174.609   443.2 174.609   420.0
174.805   416.9 174.805   382.8
175.000   385.4 175.000   349.9
175.195   348.4 175.195   304.4
175.391   310.1 175.391   263.1
175.586   246.1 175.586   194.1
175.781   199.5 175.781   146.2
175.977   120.3 175.977    66.1
176.172    84.0 176.172    32.4
176.367     5.9 176.367   -48.9
176.562   -43.9 176.562   -97.4
176.758  -127.7 176.758  -177.1
176.953  -159.4 176.953  -210.2
177.148  -239.2 177.148  -286.4
177.344  -280.0 177.344  -325.6
177.539  -333.5 177.539  -369.2
177.734  -368.7 177.734  -399.5
177.930  -418.6 177.930  -446.3
178.125  -439.8 178.125  -461.2
178.320  -472.4 178.320  -496.5
178.516  -495.2 178.516  -499.9
178.711  -499.9 178.711  -499.9
178.906  -499.9 178.906  -499.9
179.102  -499.9 179.102  -499.9
179.297  -499.9 179.297  -494.6
179.492  -493.5 179.492  -467.7
179.688  -474.0 179.688  -445.7
179.883  -439.8 179.883  -400.8
180.078  -402.4 180.078  -364.1
180.273  -352.7 180.273  -309.2
180.469  -310.5 180.469  -259.7
180.664  -246.5 180.664  -196.0
180.859  -205.5 180.859  -150.0
181.055  -134.9 181.055   -86.5
181.250   -91.3 181.250   -34.8
181.445    -3.7 181.445    51.6
181.641    39.0 181.641    89.3
181.836   126.4 181.836   179.0
182.031   194.7 182.031   236.5
182.227   241.5 182.227   282.9
182.422   271.0 182.422   308.4
182.617   319.9 182.617   354.4
182.812   357.1 182.812   384.6
183.008   408.6 183.008   425.1
183.203   424.1 183.203   440.9
183.398   456.7 183.398   463.6
183.594   465.5 183.594   469.7
183.789   484.0 183.789   477.6
183.984   483.1 183.984   476.7
184.180   480.4 184.180   465.4
184.375   470.9 184.375   453.6
184.570   451.4 184.570   424.7
184.766   437.0 184.766   408.9
184.961   399.4 184.961   364.4
185.156   373.8 185.156   338.1
185.352   322.8 185.352   274.4
185.547   292.7 185.547   247.2
185.742   224.6 185.742   172.3
185.938   181.0 185.938   125.7
186.133    97.0 186.133    38.5
186.328    64.7 186.328    14.9
186.523   -11.1 186.523   -70.2
186.719   -34.9 186.719   -87.2
186.914  -125.9 186.914  -178.0
187.109  -163.1 187.109  -206.9
187.305  -248.1 187.305  -293.3
187.500  -277.3 187.500  -315.2
187.695  -340.0 187.695  -377.3
187.891  -370.9 187.891  -403.3
188.086  -432.2 188.086  -455.9
188.281  -440.8 188.281  -465.1
188.477  -481.6 188.477  -499.9
188.672  -493.4 188.672  -499.9
188.867  -499.9 188.867  -499.9
189.062  -499.9 189.062  -499.9
189.258  -499.9 189.258  -499.9
189.453  -499.9 189.453  -489.7
189.648  -484.1 189.648  -459.7
189.844  -469.9 189.844  -442.3
190.039  -425.7 190.039  -389.4
190.234  -402.0 190.234  -358.7
190.430  -335.1 190.430  -291.4
190.625  -303.0 190.625  -257.5
190.820  -232.9 190.820  -178.7
191.016  -181.2 191.016  -123.6
191.211  -105.5 191.211   -51.5
191.406   -63.0 191.406   -11.7
191.602    22.1 191.602    75.1
191.797    74.4 191.797   122.7
191.992   139.0 191.992   191.7
192.188   181.8 192.188   218.2
192.383   257.8 192.383   292.9
192.578   288.7 192.578   323.7
192.773   343.8 192.773   374.5
192.969   371.1 192.969   392.0
193.164   409.3 193.164   431.0
193.359   433.2 193.359   447.8
193.555   464.0 193.555   469.2
193.750   472.7 193.750   474.3
193.945   483.4 193.945   476.3
194.141   484.3 194.141   475.0
194.336   475.6 194.336   460.2
194.531   467.0 194.531   449.8
194.727   446.2 194.727   418.4
194.922   423.8 194.922   394.7
195.117   380.8 195.117   339.5
195.312   365.6 195.312   324.7
195.508   304.7 195.508   258.4
195.703   265.2 195.703   217.1
195.898   192.1 195.898   141.5
196.094   165.3 196.094   112.6
196.289    80.9 196.289    16.4
196.484    25.2 196.484   -27.0
196.680   -51.9 196.680  -108.2
196.875   -81.7 196.875  -137.4
197.070  -169.8 197.070  -220.8
197.266  -215.0 197.266  -258.4
197.461  -298.5 197.461  -340.3
197.656  -315.9 197.656  -353.5
197.852  -378.0 197.852  -412.7
198.047  -407.5 198.047  -435.4
198.242  -456.2 198.242  -477.7
198.438  -471.6 198.438  -490.7
198.633  -499.9 198.633  -499.9
198.828  -499.9 198.828  -499.9
199.023  -499.9 199.023  -499.9
199.219  -499.9 199.219  -499.9
199.414  -499.9 199.414  -499.9
199.609  -499.9 199.609  -488.7
199.805  -479.6 199.805  -445.1
Event #2 ----------------------
  t1[ns]  u1[mV]  t2[ns] u2[mV]
  0.000  -499.9   0.000  -494.4
  0.195  -210.3   0.195  -220.5
  0.391  -460.6   0.391  -432.2
  0.586  -435.6   0.586  -400.8
  0.781  -380.6   0.781  -339.4
  0.977  -352.5   0.977  -307.2
  1.172  -290.0   1.172  -240.9
  1.367  -252.5   1.367  -194.1
  1.562  -173.6   1.562  -114.1
  1.758  -132.2   1.758   -74.8
  1.953   -45.8   1.953    11.5
  2.148     6.9   2.148    55.1
  2.344    86.5   2.344   134.7
  2.539   121.5   2.539   173.3
  2.734   192.3   2.734   236.8
  2.930   243.5   2.930   283.4
  3.125   307.3   3.125   337.5
  3.320   335.2   3.320   364.3
  3.516   384.0   3.516   407.1
  3.711   411.6   3.711   429.0
  3.906   445.1   3.906   455.9
  4.102   458.3   4.102   464.3
  4.297   476.9   4.297   475.2
  4.492   481.0   4.492   479.5
  4.688   481.7   4.688   472.6
  4.883   479.7   4.883   468.4
  5.078   466.1   5.078   447.0
  5.273   454.0   5.273   431.7
  5.469   416.3   5.469   384.0
  5.664   397.0   5.664   364.4
  5.859   355.1   5.859   307.0
  6.055   311.4   6.055   264.4
  6.250   253.6   6.250   195.9
  6.445   218.4   6.445   166.4
  6.641   137.3   6.641    78.9
  6.836   100.4   6.836    42.0
  7.031     7.3   7.031   -52.8
  7.227   -20.1   7.227   -75.6
  7.422  -116.1   7.422  -168.0
  7.617  -157.0   7.617  -207.5
  7.812  -228.5   7.812  -277.8
  8.008  -261.7   8.008  -307.1
  8.203  -331.5   8.203  -370.1
  8.398  -364.5   8.398  -396.4
  8.594  -415.9   8.594  -444.2
  8.789  -437.6   8.789  -462.4
  8.984  -477.6   8.984  -497.1
  9.180  -488.9   9.180  -499.9
  9.375  -499.9   9.375  -499.9
  9.570  -499.9   9.570  -499.9
  9.766  -499.9   9.766  -499.9
  9.961  -499.9   9.961  -494.3
 10.156  -488.1  10.156  -461.7
 10.352  -470.5  10.352  -444.7
 10.547  -434.9  10.547  -399.9
 10.742  -407.6  10.742  -366.8
 10.938  -342.1  10.938  -297.4
 11.133  -310.1  11.133  -259.8
 11.328  -240.8  11.328  -188.1
 11.523  -204.0  11.523  -152.0
 11.719  -110.2  11.719   -53.7
 11.914   -68.5  11.914   -17.7
 12.109    16.0  12.109    67.4
 12.305    57.7  12.305   110.1
 12.500   132.7  12.500   185.3
 12.695   169.0  12.695   212.9
 12.891   243.8  12.891   283.6
 13.086   278.2  13.086   314.3
 13.281   344.0  13.281   374.3
 13.477   364.7  13.477   392.4
 13.672   413.9  13.672   429.3
 13.867   435.7  13.867   445.9
 14.062   460.2  14.062   467.5
 14.258   470.1  14.258   473.2
 14.453   481.8  14.453   479.1
 14.648   484.3  14.648   478.1
 14.844   480.6  14.844   466.4
 15.039   474.2  15.039   457.7
 15.234   452.2  15.234   427.2
 15.430   436.8  15.430   407.6
 15.625   393.7  15.625   353.8
 15.820   370.7  15.820   334.0
 16.016   318.6  16.016   271.2
 16.211   281.2  16.211   233.1
 16.406   205.8  16.406   149.4
 16.602   168.0  16.602   111.0
 16.797    92.6  16.797    38.8
 16.992    47.3  16.992    -5.4
 17.188   -39.4  17.188  -103.8
 17.383  -119.6  17.383  -167.7
 17.578  -157.6  17.578  -214.6
 17.773  -213.2  17.773  -262.5
 17.969  -286.0  17.969  -330.7
 18.164  -336.4  18.164  -375.5
 18.359  -369.7  18.359  -407.9
 18.555  -403.1  18.555  -431.0
 18.750  -449.3  18.750  -476.2
 18.945  -465.5  18.945  -483.4
 19.141  -496.5  19.141  -499.9
 19.336  -498.8  19.336  -499.9
 19.531  -499.9  19.531  -499.9
 19.727  -499.9  19.727  -499.9
 19.922  -499.9  19.922  -486.7
 20.117  -494.3  20.117  -470.8
 20.312  -470.1  20.312  -439.2
 20.508  -439.4  20.508  -406.2
 20.703  -377.8  20.703  -334.5
 20.898  -357.6  20.898  -310.9
 21.094  -300.0  21.094  -249.7
 21.289  -255.7  21.289  -199.2
 21.484  -183.5  21.484  -128.9
 21.680  -142.0  21.680   -84.8
 21.875   -71.0  21.875   -16.5
 22.070   -21.2  22.070    22.1
 22.266    64.1  22.266   116.8
 22.461   112.5  22.461   160.2
 22.656   180.9  22.656   226.9
 22.852   217.2  22.852   261.7
 23.047   284.4  23.047   316.8
 23.242   312.1  23.242   341.5
 23.438   370.5  23.438   392.3
 23.633   398.0  23.633   414.8
 23.828   431.5  23.828   445.8
 24.023   446.8  24.023   460.1
 24.219   470.6  24.219   473.7
 24.414   479.1  24.414   479.1
 24.609   485.7  24.609   477.8
 24.805   482.9  24.805   470.6
 25.000   474.2  25.000   455.6
 25.195   457.6  25.195   436.1
 25.391   434.0  25.391   402.2
 25.586   408.7  25.586   375.5
 25.781   364.4  25.781   321.8
 25.977   332.4  25.977   291.7
 26.172   268.7  26.172   213.1
 26.367   226.4  26.367   176.2
 26.562   166.3  26.562   107.4
 26.758   111.9  26.758    52.6
 26.953    40.6  26.953   -21.3
 27.148    -3.0  27.148   -53.8
 27.344   -85.6  27.344  -144.4
 27.539  -139.9  27.539  -188.1
 27.734  -201.1  27.734  -254.1
 27.930  -247.7  27.930  -289.1
 28.125  -318.7  28.125  -361.9
 28.320  -351.9  28.320  -382.5
 28.516  -403.6  28.516  -432.9
 28.711  -427.8  28.711  -452.4
 28.906  -464.2  28.906  -485.9
 29.102  -487.3  29.102  -498.8
 29.297  -499.9  29.297  -499.9
 29.492  -499.9  29.492  -499.9
 29.688  -499.9  29.688  -499.9
 29.883  -499.9  29.883  -499.9
 30.078  -496.6  30.078  -474.5
 30.273  -479.3  30.273  -452.2
 30.469  -444.2  30.469  -409.2
 30.664  -418.1  30.664  -377.5
 30.859  -363.1  30.859  -321.5
 31.055  -326.2  31.055  -281.6
 31.250  -254.6  31.250  -203.6
 31.445  -209.0  31.445  -156.1
 31.641  -131.3  31.641   -77.9
 31.836   -84.5  31.836   -31.8
 32.031    -7.2  32.031    45.6
 32.227    37.9  32.227    83.5
 32.422   115.6  32.422   165.5
 32.617   159.7  32.617   202.3
 32.812   234.1  32.812   278.0
 33.008   274.4  33.008   311.1
 33.203   325.1  33.203   357.3
 33.398   356.6  33.398   382.1
 33.594   402.0  33.594   420.0
 33.789   423.9  33.789   438.7
 33.984   453.9  33.984   463.9
 34.180   466.4  34.180   471.4
 34.375   481.2  34.375   480.9
 34.570   484.0  34.570   479.5
 34.766   484.1  34.766   469.5
 34.961   476.0  34.961   460.9
 35.156   457.8  35.156   432.0
 35.352   440.8  35.352   412.9
 35.547   408.1  35.547   371.1
 35.742   375.2  35.742   336.3
 35.938   327.1  35.938   279.7
 36.133   284.5  36.133   240.2
 36.328   224.4  36.328   165.7
 36.523   179.4  36.523   125.2
 36.719   100.7  36.719    42.8
 36.914    50.9  36.914    -7.7
 37.109   -25.1  37.109   -87.0
 37.305   -79.3  37.305  -135.5
 37.500  -147.2  37.500  -207.9
 37.695  -201.6  37.695  -251.1
 37.891  -256.1  37.891  -306.1
 38.086  -304.7  38.086  -341.6
 38.281  -361.0  38.281  -399.0
 38.477  -398.2  38.477  -425.7
 38.672  -441.4  38.672  -466.9
 38.867  -469.9  38.867  -484.5
 39.062  -491.6  39.062  -499.9
 39.258  -499.9  39.258  -499.9
 39.453  -499.9  39.453  -499.9
 39.648  -499.9  39.648  -499.9
 39.844  -499.9  39.844  -498.3
 40.039  -499.9  40.039  -482.1
 40.234  -473.7  40.234  -444.2
 40.430  -450.8  40.430  -416.2
 40.625  -399.9  40.625  -362.3
 40.820  -371.2  40.820  -328.4
 41.016  -303.1  41.016  -253.4
 41.211  -263.6  41.211  -213.9
 41.406  -186.4  41.406  -132.7
 41.602  -141.0  41.602   -91.7
 41.797   -51.7  41.797    -1.9
 41.992    -6.1  41.992    42.0
 42.188    62.4  42.188   117.0
 42.383   113.6  42.383   161.4
 42.578   190.7  42.578   233.0
 42.773   227.0  42.773   266.0
 42.969   289.4  42.969   329.8
 43.164   324.9  43.164   355.4
 43.359   376.8  43.359   402.4
 43.555   407.2  43.555   424.5
 43.750   433.8  43.750   448.2
 43.945   455.0  43.945   462.5
 44.141   471.1  44.141   474.3
 44.336   477.5  44.336   478.0
 44.531   484.9  44.531   477.8
 44.727   481.0  44.727   469.0
 44.922   469.0  44.922   448.9
 45.117   456.6  45.117   435.8
 45.312   430.2  45.312   399.0
 45.508   401.6  45.508   367.1
 45.703   365.1  45.703   323.8
 45.898   326.6  45.898   288.0
 46.094   271.1  46.094   220.6
 46.289   229.2  46.289   177.5
 46.484   154.4  46.484    97.2
 46.680   103.8  46.680    44.9
 46.875    42.0  46.875   -20.5
 47.070   -13.5  47.070   -69.6
 47.266   -95.2  47.266  -146.6
 47.461  -131.4  47.461  -186.8
 47.656  -206.2  47.656  -258.5
 47.852  -250.3  47.852  -300.5
 48.047  -321.6  48.047  -364.3
 48.242  -354.5  48.242  -383.2
 48.438  -400.7  48.438  -433.7
 48.633  -437.2  48.633  -463.8
 48.828  -474.0  48.828  -491.9
 49.023  -492.9  49.023  -499.9
 49.219  -499.9  49.219  -499.9
 49.414  -499.9  49.414  -499.9
 49.609  -499.9  49.609  -499.9
 49.805  -499.9  49.805  -492.9
 50.000  -494.0  50.000  -470.7
 50.195  -475.0  50.195  -447.1
 50.391  -437.1  50.391  -401.9
 50.586  -409.8  50.586  -368.0
 50.781  -355.1  50.781  -312.2
 50.977  -315.4  50.977  -265.3
 51.172  -243.8  51.172  -192.3
 51.367  -209.6  51.367  -152.1
 51.562  -128.5  51.562   -64.8
 51.758   -75.2  51.758   -20.4
 51.953    11.8  51.953    62.2
 52.148    52.6  52.148   104.0
 52.344   124.7  52.344   167.6
 52.539   166.1  52.539   210.3
 52.734   233.7  52.734   279.3
 52.930   274.6  52.930   312.1
 53.125   333.4  53.125   365.5
 53.320   372.0  53.320   391.5
 53.516   414.3  53.516   428.6
 53.711   424.8  53.711   440.6
 53.906   454.5  53.906   463.3
 54.102   468.4  54.102   472.7
 54.297   479.3  54.297   477.7
 54.492   482.5  54.492   478.1
 54.688   480.4  54.688   469.3
 54.883   471.5  54.883   455.8
 55.078   455.2  55.078   431.1
 55.273   437.0  55.273   410.1
